s,A(s) (GHz),B(s) (GHz),c (normalized)
0.232,1.89557100,1.13855600,0.34269560
0.233,1.88350200,1.14369400,0.34317520
0.234,1.87143300,1.14884300,0.34365480
0.235,1.85936400,1.15400400,0.34413440
0.236,1.84729400,1.15917700,0.34461390
0.237,1.83522500,1.16436100,0.34509350
0.238,1.82315600,1.16955700,0.34557310
0.239,1.81108700,1.17476400,0.34605270
0.240,1.79901700,1.17998300,0.34653230
0.241,1.78694800,1.18521300,0.34701180
0.242,1.77487900,1.19045500,0.34749140
0.243,1.76281000,1.19570900,0.34797100
0.244,1.75074000,1.20097400,0.34845060
0.245,1.73867100,1.20625000,0.34893020
0.246,1.72660200,1.21153900,0.34940970
0.247,1.71453300,1.21683800,0.34988930
0.248,1.70246400,1.22215000,0.35036890
0.249,1.69039400,1.22747300,0.35084850
0.250,1.67832500,1.23280700,0.35132810
0.251,1.66625600,1.23815300,0.35180760
0.252,1.65418700,1.24351100,0.35228720
0.253,1.64211700,1.24888000,0.35276680
0.254,1.63101300,1.25426100,0.35322630
0.255,1.62028200,1.25965300,0.35367800
0.256,1.61029500,1.26505700,0.35411430
0.257,1.60030700,1.27047300,0.35455070
0.258,1.59032000,1.27590000,0.35498710
0.259,1.58033300,1.28133800,0.35542340
0.260,1.57034500,1.28678800,0.35585980
0.261,1.56035800,1.29225000,0.35629620
0.262,1.55037000,1.29772300,0.35673250
0.263,1.54038300,1.30320800,0.35716890
0.264,1.53039500,1.30870500,0.35760530
0.265,1.52040800,1.31421300,0.35804160
0.266,1.51042100,1.31973200,0.35847800
0.267,1.50043300,1.32526300,0.35891440
0.268,1.49044600,1.33080600,0.35935070
0.269,1.48045800,1.33636000,0.35978710
0.270,1.47047100,1.34192600,0.36022350
0.271,1.46048300,1.34750300,0.36065980
0.272,1.45049600,1.35309200,0.36109620
0.273,1.44050900,1.35869300,0.36153260
0.274,1.43052100,1.36430500,0.36196890
0.275,1.42053400,1.36992800,0.36240530
0.276,1.41054600,1.37556400,0.36284170
0.277,1.40055900,1.38121000,0.36327800
0.278,1.39057100,1.38686900,0.36371440
0.279,1.38058400,1.39253900,0.36415080
0.280,1.37059700,1.39822000,0.36458710
0.281,1.36060900,1.40391300,0.36502350
0.282,1.35062200,1.40961800,0.36545990
